Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Debt_to_Equity,Total Assets,Cash,Goodwill & Intangible,Net Income,Return_on_TangibleAssets
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100,-206.0593220338983,59995000000.0,280000000.0,6184000000.0,1686000000.0,0.03149576880685958
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100,0.2849637650556616,377626000.0,12893000.0,2544000.0,-386000.0,-0.001065741919274191
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,0.15104056334324345,466825000.0,59977000.0,4081000.0,-66049000.0,-0.16398811223362392
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100,0.021782587716274903,371424000.0,26797000.0,3501000.0,53711000.0,0.15745208515328646
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100,1.1538126458991858,340618000000.0,39771000000.0,0.0,55256000000.0,0.18366811036839323
AAVL,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock",G,N,N,100,0.0,0.0,0.0,0.0,0.0,
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100,1.3283734493038921,5385641000.0,103029000.0,76856000.0,-293113000.0,-0.05630555869310817
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ABAC,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares",S,N,N,100,0.02330943310199679,90826298.0,61410223.0,2047492.0,0.0,0.0
ABAX,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock",Q,N,N,100,0.0009528953225567867,341103000.0,46277000.0,1017000.0,27177000.0,0.09249886831240704
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock,Q,N,N,100,0.051652465882890304,18242579000.0,621849000.0,1023223000.0,161441000.0,0.009726822226976618
ABCD,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock",S,N,N,100,-216.70149253731344,185293000.0,26255000.0,46376000.0,45055000.0,0.39991301414851504
ABCO,The Advisory Board Company,The Advisory Board Company - Common Stock,Q,N,N,100,0.8459959931261088,2051462000.0,151458000.0,976768000.0,91238000.0,0.0988241359739005
ABCW,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock,Q,N,N,100,0.0,2248498000.0,75267000.0,0.0,137758000.0,0.0633885675291766
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock,Q,N,N,100,0.5878580597525773,230200455.0,4830119.0,0.0,5522132.0,0.024502479332506297
ABGB,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock",S,N,N,100,0.0,9949000.0,9645000.0,0.0,-7933000.0,-26.095394736842106
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock",Q,N,N,100,0.01257757700864392,1196611000.0,117970000.0,47799000.0,259016000.0,0.25126644044383134
ABTL,Autobytel Inc.,Autobytel Inc. - Common Stock,S,N,N,100,0.0,0.0,0.0,0.0,0.0,
ABY,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,0.014010169709712717,783183000.0,189680000.0,2585000.0,-235259000.0,-0.3981246128904518
ACAS,"American Capital, Ltd.","American Capital, Ltd. - Common Stock",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACAT,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock,Q,N,N,100,0.7126698871624788,341571000.0,10480000.0,6098000.0,-9187000.0,-0.028268301163409674
ACET,Aceto Corporation,Aceto Corporation - Common Stock,Q,N,N,100,6.3032140088648605,753159000.0,41782000.0,222901000.0,11376000.0,0.023288759324920773
ACFC,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock,G,N,N,100,0.0,928139000.0,48516000.0,0.0,3168000.0,0.003601542933734111
ACFN,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock",G,N,N,100,-0.9210526315789473,4984000.0,1247000.0,0.0,-618000.0,-0.16537329408616538
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,0.20490884394354153,37885361000.0,726230000.0,0.0,1636319000.0,0.044035448514659827
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100,1.256934174881984,6879142000.0,124192000.0,2539488000.0,108923000.0,0.025838923467937796
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,0.010459634649381261,236342000.0,43567000.0,0.0,-70272000.0,-0.3645285955129036
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock",Q,N,N,100,1.2152158291208246,3257534000.0,121398000.0,1637494000.0,67062000.0,0.04474851231982021
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100,0.11574839006549412,548094000.0,139881000.0,0.0,17034000.0,0.041728215416951445
ACNB,ACNB Corporation,ACNB Corporation - Common Stock,S,N,N,100,0.5262405285041897,1720253000.0,114356000.0,24007000.0,23721000.0,0.014995353659230415
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100,0.09890611929734251,799718000.0,62085000.0,402329000.0,-272966000.0,-0.8140851287190132
ACPW,"Active Power, Inc.","Active Power, Inc. - Common Stock",S,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100,-0.8490839640659263,104978000.0,21949000.0,0.0,-47149000.0,-0.5678618314083032
ACSF,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACST,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100,0.0,43772837.3322,21199647.8098,6106831.0221,-38771428.5714,-2.3545842616443475
ACTA,Actua Corporation,Actua Corporation - Common Stock,Q,N,N,100,0.0,535304000.0,334984000.0,0.0,173958000.0,0.8684005591054313
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock,Q,N,N,100,0.009813718411552347,218161000.0,57359000.0,7814000.0,-17115000.0,-0.11187151933484979
ACTS,"Actions Semiconductor Co., Ltd.","Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACUR,"Acura Pharmaceuticals, Inc.","Acura Pharmaceuticals, Inc. - Common Stock",S,N,D,100,-1.2716726429023413,2562000.0,862000.0,810000.0,-3774000.0,-4.240449438202247
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ACXM,Acxiom Corporation,Acxiom Corporation - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,4000000.0,inf
ADAT,Authentidate Holding Corp.,Authentidate Holding Corp. - Common Stock,S,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADBE,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock,Q,N,N,100,0.05714285714285714,21214000000.0,2688000000.0,12316000000.0,2951458000.0,0.47527504025764894
ADEP,"Adept Technology, Inc.","Adept Technology, Inc. - Common Stock",S,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock",S,N,E,100,0.40968861965796183,173799000.0,17080000.0,4169000.0,35537000.0,0.23295313012127172
ADHD,Alcobra Ltd.,Alcobra Ltd. - Ordinary Shares,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock",Q,N,N,100,0.46902646024643213,21392641000.0,648322000.0,16474104000.0,1363011000.0,0.3191902515447114
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock,S,N,N,100,2.6159602268516857,127090725.0,26752135.0,6688983.0,-48279317.0,-0.5155314426466306
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation - Common Stock,S,N,N,100,0.0943960010195667,52841145.0,12121914.0,19250623.0,-39006782.0,-1.8169218050839626
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. - Common Stock",G,N,N,100,-143.0179171332587,162158000.0,65774000.0,0.0,-105186000.0,-1.0913222111553784
ADNC,"Audience, Inc.","Audience, Inc. - Common Stock",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100,0.3736857803295802,49059400000.0,1500400000.0,3417400000.0,2292800000.0,0.05194193232687533
ADRA,BLDRS Asia 50 ADR Index Fund,BLDRS Asia 50 ADR Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADRD,BLDRS Developed Markets 100 ADR Index Fund,BLDRS Developed Markets 100 ADR Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADRU,BLDRS Europe 100 ADR Index Fund,BLDRS Europe 100 ADR Index Fund,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock",Q,N,N,100,-14.987778576563624,6179300000.0,1774700000.0,2515900000.0,214500000.0,0.11357018054746651
ADTN,"ADTRAN, Inc.","ADTRAN, Inc. - Common Stock",Q,N,N,100,0.07995773159563227,545118000.0,73800000.0,34789000.0,-52982000.0,-0.12137108874782661
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock,Q,N,N,100,0.12812667557469554,619110000.0,239609000.0,203135000.0,17503000.0,0.09924248437907533
ADVS,"Advent Software, Inc.","Advent Software, Inc. - Common Stock",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
ADXS,"Advaxis, Inc.","Advaxis, Inc. - Common Stock",S,N,N,100,0.0012142369279805722,45257000.0,32363000.0,4575000.0,-16612000.0,-1.9968746243538886
ADXSW,"Advaxis, Inc.","Advaxis, Inc. - Warrants",S,N,N,100,0.15993549629344372,51348000.0,34156000.0,4490000.0,-16612000.0,-1.3078255392851519
AEGN,Aegion Corp,Aegion Corp - Class A Common Stock,Q,N,N,100,0.6462330424374473,995513000.0,64874000.0,361663000.0,-20892000.0,-0.03671859621495459
AEGR,"Aegerion Pharmaceuticals, Inc.","Aegerion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,-19.43980976142211,353826000.0,32363000.0,227779000.0,-73339000.0,-0.7828337816489476
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock,S,N,N,100,0.14576168929110106,21688000.0,5058000.0,0.0,-5235000.0,-0.314792543595911
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100,0.5009900785265267,1532406000.0,346441000.0,386943000.0,64941000.0,0.08127560943253127
AEPI,AEP Industries Inc.,AEP Industries Inc. - Common Stock,Q,N,N,100,1.1962451011545387,392631000.0,3676000.0,9828000.0,28802000.0,0.07596926623532484
AERI,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100,0.10544474393530998,452608000.0,143940000.0,0.0,-199581000.0,-0.6465879197066103
AETI,"American Electric Technologies, Inc.","American Electric Technologies, Inc. - Common Stock",S,N,N,100,0.10432643611633627,14375000.0,1006000.0,0.0,-2557000.0,-0.19126337048395542
AEY,"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100,0.02631431132966115,36828344.0,1242143.0,10880737.0,-5302443.0,-0.21462632719628338
AEZS,AEterna Zentaris Inc.,AEterna Zentaris Inc. - Common Stock,S,N,D,100,-0.0,27163000.0,11357000.0,55000.0,4187000.0,0.26582439210208875
AFAM,Almost Family Inc,Almost Family Inc - Common Stock,Q,N,N,100,0.027166728049577524,717818000.0,11310000.0,536276000.0,20414000.0,0.11991869918699187
AFCB,Athens Bancshares Corporation,Athens Bancshares Corporation - Common Stock,S,N,N,100,0.0,0.0,0.0,0.0,0.0,
AFFX,"Affymetrix, Inc.","Affymetrix, Inc. - Common Stock",Q,N,N,100,0.32129413741367063,546891000.0,88767000.0,256937000.0,10113000.0,0.05026666732940001
AFH,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,N,100,5.61448275862069,410668000.0,54008000.0,3462000.0,-80012000.0,-0.2265358240986642
AFMD,Affimed N.V.,Affimed N.V. - Common Stock,G,N,N,100,0.0,112633000.0,70878552.9716,0.0,-22387356.3218,-0.5361669933402029
AFOP,"Alliance Fiber Optic Products, Inc.","Alliance Fiber Optic Products, Inc. - Common Stock",G,N,N,100,0.0,79743000.0,13076000.0,0.0,0.0,0.0
